time_sec,Instrument_0_Bass,Instrument_1_Grand Piano,Instrument_2_909 Drum Kit,Instrument_3_Smooth Synth (Classic),Instrument_4_Electric Drum Kit,Instrument_5_Violin,Instrument_6_8-Bit Sawtooth,Instrument_7_Strings,Instrument_8_Violin (Classic),Instrument_9_Trombone (Classic)
64.719072,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
64.88761124999999,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.05615049999999,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.22468975,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.39322899999999,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.56176824999999,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.7303075,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
65.89884674999999,,72 84,,36 36,,60 72 84 84,36 48 60,,72 84,60
66.067386,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
66.23592525,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
66.40446449999999,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
66.57300375,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
66.741543,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
66.91008224999999,,75 87,,36 36,,60 72 84 84,36 48 60,,75 87,63
67.0786215,,74 86,,36 36,,60 72 84 84,36 48 60,,74 86,62
67.24716074999999,,74 86,,36 36,,60 72 84 84,36 48 60,,74 86,62
67.41569999999999,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
67.58423925,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
67.75277849999999,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
67.92131774999999,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
68.089857,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
68.25839624999999,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
68.4269355,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
68.59547475,,68 80,,32 32,,56 68 80 92,32 44 56,,68 80,56
68.76401399999999,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
68.93255325,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
69.1010925,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
69.26963174999999,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
69.438171,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
69.60671024999999,,75 87,,32 32,,56 68 80 92,32 44 56,,75 87,63
69.77524949999999,,74 86,,32 32,,56 68 80 92,32 44 56,,74 86,62
69.94378875,,74 86,,32 32,,56 68 80 92,32 44 56,,74 86,62
70.11232799999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
70.28086724999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
70.4494065,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
70.61794574999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
70.786485,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
70.95502425,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.12356349999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.29210275,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.46064199999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.62918124999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.7977205,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
71.96625974999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
72.13479899999999,,75 87,,39 39,,63 75 87 87,39 51 63,,75 87,63
